,text,intent
0,i want to fly from baltimore to dallas round trip,1
1,round trip fares from baltimore to philadelphia less than 1000 dollars round trip fares from denver to philadelphia less than 1000 dollars round trip fares from pittsburgh to philadelphia less than 1000 dollars,1
2,show me the flights arriving on baltimore on june fourteenth,1
3,what are the flights which depart from san francisco fly to washington via indianapolis and arrive by 9 pm,1
4,which airlines fly from boston to washington dc via other cities,1
5,i'm looking for a flight from charlotte to las vegas that stops in st. louis hopefully a dinner flight how can i find that out,1
6,okay and then from pittsburgh i'd like to travel to atlanta on september fourth,1
7,show me all the flights from philadelphia to cincinnati,1
8,okay i'd like a flight on us air from indianapolis to san diego in the afternoon what's available,1
9,on tuesday what flights leave phoenix to st. paul minnesota and leave after noon,1
10,american flights from chicago to los angeles morning,1
11,what types of ground transportation are there to san francisco airport,1
12,in the next two days i want to fly from nashville to san jose or to tacoma,1
13,does continental airlines fly from denver to san francisco,1
14,chicago to milwaukee,1
15,how many flights does twa have in business class,1
16,show me the flights from dallas to baltimore in first class,1
17,i'd like to find the least expensive one way fare from boston to philadelphia,1
18,how many booking classes are there,1
19,what are the flights from tacoma to san jose on wednesday the nineteenth,1
20,what flights leave pittsburgh july fifth after 7 pm and arrive in san francisco,1
21,please list all the arriving and departing flights from general mitchell international,1
22,what time zone is denver in,1
23,show me ground transportation in boston and in baltimore,1
24,i want to find the first flight from baltimore to boston that serves a meal,1
25,from seattle to salt lake city,1
26,can you show me the flights from dallas to baltimore with economy fares,1
27,what flights leave from phoenix,1
28,what are the flights from pittsburgh to denver,1
29,show flights leaving miami to cleveland on us air that leave after noon,1
30,please give me a list of all the flights between dallas and baltimore and their cost,1
31,what does fare code y mean,1
32,ground transportation in phoenix,1
33,okay could you tell me what flight leaves dallas to san francisco by united airline,1
34,show me all flights from denver to san francisco next wednesday which leave after noon,1
35,is there a flight from atlanta to san francisco that stops over in denver,1
36,show departures and arrivals in atlanta for american airlines,1
37,find me the earliest flight from boston to atlanta and the latest return from atlanta to boston within the same day,1
38,i want to fly from milwaukee to orlando on either wednesday evening or thursday morning,1
39,i want a flight originating in denver going to pittsburgh and atlanta in either order,1
40,show me the flights from dallas to atlanta,1
41,what flights are available from denver to san francisco,1
42,what is the cost of a flight from boston to denver,1
43,show me the earliest flight from san jose to pittsburgh that serves a snack,1
44,could you please give me the round trip fare from denver to atlanta,1
